frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,[2197.166015625 1154.0797119140625 2785.6494140625 1736.5533447265625],[2407.939697265625 1551.4271240234375 2576.87939453125 1638.404052734375],0.5944315791130066,0,0
0,3.0,[752.8721923828125 1369.210693359375 1430.7803955078125 1982.91064453125],[973.7655639648438 1753.3367919921875 1199.7279052734375 1851.6197509765625],0.565712034702301,0,0
1,5.0,[2197.3992555005066 1154.2835581682734 2785.55873807127 1736.5472326269128],[2407.91455078125 1551.3717041015625 2576.935791015625 1638.369873046875],0.5950815677642822,0,0
1,3.0,[752.7639831240283 1369.258433009659 1430.4360742863275 1982.8931752947508],[973.7571411132812 1753.3359375 1199.6212158203125 1851.615234375],0.5656629204750061,0,0
2,5.0,[2201.178826418825 1163.4533364456956 2783.907452054417 1740.8521057981088],[2411.8359375 1549.122802734375 2583.56640625 1641.93603515625],0.5861985683441162,0,0
2,3.0,[750.134509035488 1374.3686828410212 1425.920461379853 1990.0149818494572],[974.7024536132812 1764.763916015625 1203.420166015625 1862.90625],0.5311545133590698,0,0
3,3.0,[748.0782560818191 1378.2311290714365 1424.6946939351217 1996.1644820295228],[971.7614135742188 1775.4940185546875 1188.5355224609375 1863.6929931640625],0.5446366667747498,0,0
3,5.0,[2196.5316293111905 1169.0065511527057 2783.134845410514 1747.6872839713917],[2416.8408203125 1559.7335205078125 2584.547607421875 1648.22802734375],0.49529486894607544,0,0
4,3.0,[749.0850829961307 1380.2562231031834 1430.169478377786 2000.7945500798996],[963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375],0.4999431371688843,0,0
4,5.0,[2196.699758096257 1171.5289892932713 2784.997808951817 1751.7258230981427],[2410.735107421875 1562.9150390625 2585.170654296875 1653.1937255859375],0.42640048265457153,0,0
5,3.0,[746.8354674608877 1383.4213617972982 1431.3385166900352 2007.0068168897778],[967.8922729492188 1783.9281005859375 1191.7177734375 1882.6552734375],0.5429871678352356,0,0
5,5.0,[2194.0966294240507 1174.1965144074265 2789.7639398274723 1755.6259437877734],[2411.2822265625 1562.439453125 2586.25634765625 1652.39111328125],0.49761366844177246,0,0
6,3.0,[742.358431145646 1386.929023066266 1428.8720051230603 2012.1055298137653],[958.7540283203125 1783.9215087890625 1185.5277099609375 1884.35302734375],0.515663743019104,0,0
6,5.0,[2192.939382768202 1176.7568053984564 2788.9336671737697 1758.4378838691027],[2411.54736328125 1566.5921630859375 2584.351318359375 1651.2095947265625],0.4791018068790436,0,0
7,3.0,[740.7752569162767 1387.747949512828 1428.4357142600961 2013.7540963464046],[958.9371337890625 1783.8427734375 1185.5155029296875 1884.295166015625],0.5161941051483154,0,0
7,5.0,[2192.044879717451 1177.3984562487585 2788.4125538919056 1759.2667377688144],[2411.728759765625 1566.5020751953125 2584.66552734375 1651.2923583984375],0.48065686225891113,0,0
8,5.0,[2189.132870302302 1176.7713406546457 2789.4467439066157 1762.0338013473422],[2416.160400390625 1575.296630859375 2587.7529296875 1653.528076171875],0.5656312108039856,0,0
8,3.0,[735.6200431303809 1391.3026483992567 1422.9660305950174 2020.2223726291732],[947.8174438476562 1785.422607421875 1193.75 1889.37744140625],0.4237566292285919,0,0
9,5.0,[2190.6483957587475 1175.7442604589899 2792.237295789361 1764.4548123999923],[2414.810546875 1579.6453857421875 2589.49755859375 1661.1383056640625],0.5821934342384338,0,0
9,3.0,[737.1985530866193 1396.0504349760438 1425.6082556699719 2026.1469116446622],[939.8256225585938 1790.5682373046875 1188.2003173828125 1892.2584228515625],0.38696056604385376,0,0
